86162 131072
389838 524288
contar frecuencias V1
10 0 -0.0589028
110 0 -0.0569757
210 0 -0.0550399
310 0 -0.0530952
410 0.01 -0.0511418
510 0.01 -0.0491796
610 0 -0.0472087
710 0.02 -0.0452289
810 0.01 -0.0432404
910 0.01 -0.0412431
1010 0.02 -0.039237
1110 0.02 -0.0372222
1210 0.02 -0.0351986
1310 0.03 -0.0331661
1410 0.03 -0.0311249
1510 0.04 -0.029075
1610 0.05 -0.0270162
1710 0.05 -0.0249487
1810 0.06 -0.0228724
1910 0.07 -0.0207873
2010 0.08 -0.0186934
2110 0.08 -0.0165908
2210 0.09 -0.0144793
2310 0.1 -0.0123591
2410 0.1 -0.0102302
2510 0.12 -0.00809239
2610 0.13 -0.00594585
2710 0.13 -0.00379053
2810 0.16 -0.00162643
2910 0.15 0.000546452
3010 0.18 0.00272811
3110 0.18 0.00491855
3210 0.2 0.00711776
3310 0.22 0.00932576
3410 0.22 0.0115425
3510 0.23 0.0137681
3610 0.24 0.0160024
3710 0.25 0.0182455
3810 0.27 0.0204974
3910 0.28 0.0227581
contar frecuencias V2
0 0 -0.059095
100 0 -0.0571688
200 0 -0.0552338
300 0 -0.0532901
400 0 -0.0513376
500 0.01 -0.0493763
600 0 -0.0474062
700 0 -0.0454273
800 0 -0.0434397
900 0.01 -0.0414433
1000 0 -0.0394381
1100 0 -0.0374241
1200 0.01 -0.0354013
1300 0 -0.0333698
1400 0.01 -0.0313295
1500 0 -0.0292804
1600 0.01 -0.0272225
1700 0.01 -0.0251558
1800 0.01 -0.0230804
1900 0.01 -0.0209962
2000 0 -0.0189032
2100 0.01 -0.0168014
2200 0.01 -0.0146909
2300 0.01 -0.0125716
2400 0.01 -0.0104434
2500 0.02 -0.00830656
2600 0.01 -0.0061609
2700 0.01 -0.00400645
2800 0.02 -0.00184323
2900 0.02 0.00032877
3000 0.01 0.00250955
3100 0.02 0.00469911
3200 0.02 0.00689745
3300 0.03 0.00910457
3400 0.02 0.0113205
3500 0.02 0.0135451
3600 0.03 0.0157786
3700 0.03 0.0180208
3800 0.03 0.0202718
3900 0.03 0.0225316
contar frecuencias V3
ciclos 0 seg 0 tama 0
ciclos 0 seg 0 tama 100
ciclos 0 seg 0 tama 200
ciclos 0 seg 0 tama 300
ciclos 0 seg 0 tama 400
ciclos 0 seg 0 tama 500
ciclos 0 seg 0 tama 600
ciclos 0 seg 0 tama 700
ciclos 0 seg 0 tama 800
ciclos 10000 seg 0.01 tama 900
ciclos 0 seg 0 tama 1000
ciclos 0 seg 0 tama 1100
ciclos 0 seg 0 tama 1200
ciclos 0 seg 0 tama 1300
ciclos 0 seg 0 tama 1400
ciclos 0 seg 0 tama 1500
ciclos 10000 seg 0.01 tama 1600
ciclos 0 seg 0 tama 1700
ciclos 0 seg 0 tama 1800
ciclos 0 seg 0 tama 1900
ciclos 10000 seg 0.01 tama 2000
ciclos 0 seg 0 tama 2100
ciclos 0 seg 0 tama 2200
ciclos 10000 seg 0.01 tama 2300
ciclos 0 seg 0 tama 2400
ciclos 10000 seg 0.01 tama 2500
ciclos 0 seg 0 tama 2600
ciclos 10000 seg 0.01 tama 2700
ciclos 0 seg 0 tama 2800
ciclos 10000 seg 0.01 tama 2900
ciclos 0 seg 0 tama 3000
ciclos 10000 seg 0.01 tama 3100
ciclos 10000 seg 0.01 tama 3200
ciclos 0 seg 0 tama 3300
ciclos 10000 seg 0.01 tama 3400
ciclos 10000 seg 0.01 tama 3500
ciclos 0 seg 0 tama 3600
ciclos 10000 seg 0.01 tama 3700
ciclos 10000 seg 0.01 tama 3800
ciclos 10000 seg 0.01 tama 3900
contar frecuencias V4
0 0 -0.059095
100 0 -0.0571688
200 0 -0.0552338
300 0 -0.0532901
400 0 -0.0513376
500 0 -0.0493763
600 0.01 -0.0474062
700 0 -0.0454273
800 0 -0.0434397
900 0 -0.0414433
1000 0 -0.0394381
1100 0 -0.0374241
1200 0 -0.0354013
1300 0 -0.0333698
1400 0 -0.0313295
1500 0 -0.0292804
1600 0 -0.0272225
1700 0 -0.0251558
1800 0 -0.0230804
1900 0 -0.0209962
2000 0 -0.0189032
2100 0 -0.0168014
2200 0.01 -0.0146909
2300 0 -0.0125716
2400 0 -0.0104434
2500 0 -0.00830656
2600 0 -0.0061609
2700 0.01 -0.00400645
2800 0 -0.00184323
2900 0 0.00032877
3000 0 0.00250955
3100 0 0.00469911
3200 0 0.00689745
3300 0 0.00910457
3400 0.01 0.0113205
3500 0 0.0135451
3600 0 0.0157786
3700 0 0.0180208
3800 0.01 0.0202718
3900 0 0.0225316
